<http://web.archive.org/web/20090321201040/http://www.alexa.com/topsites>;rel="memento first"; datetime="Sat, 21 Mar 2009 20:10:40 GMT"
<https://archive.is/20090401002727/http://www.alexa.com/topsites>;rel="memento"; datetime="Wed, 01 Apr 2009 00:27:27 GMT"
<http://web.archive.org/web/20090407032622/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 07 Apr 2009 03:26:22 GMT"
<http://web.archive.org/web/20090430194925/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 30 Apr 2009 19:49:25 GMT"
<http://web.archive.org/web/20090509225714/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 09 May 2009 22:57:14 GMT"
<http://web.archive.org/web/20090520045403/http://www.alexa.com/topsites?>;rel="memento"; datetime="Wed, 20 May 2009 04:54:03 GMT"
<http://webcitation.org/query?id=1245571901941300>;rel="memento"; datetime="Sun, 21 Jun 2009 08:11:42 GMT"
<http://web.archive.org/web/20090802073621/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 02 Aug 2009 07:36:21 GMT"
<http://web.archive.org/web/20090827232849/http://www.alexa.com/topsites/>;rel="memento"; datetime="Thu, 27 Aug 2009 23:28:49 GMT"
<http://web.archive.org/web/20090903114100/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 03 Sep 2009 11:41:00 GMT"
<http://web.archive.org/web/20091028020456/http://www.alexa.com/topsites/>;rel="memento"; datetime="Wed, 28 Oct 2009 02:04:56 GMT"
<http://web.archive.org/web/20091115002350/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 15 Nov 2009 00:23:50 GMT"
<http://web.archive.org/web/20091120103208/http://www.alexa.com/topsites>;rel="memento"; datetime="Fri, 20 Nov 2009 10:32:08 GMT"
<http://web.archive.org/web/20091225115902/http://www.alexa.com/topsites>;rel="memento"; datetime="Fri, 25 Dec 2009 11:59:02 GMT"
<http://web.archive.org/web/20100121103357/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 21 Jan 2010 10:33:57 GMT"
<http://web.archive.org/web/20100123032341/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 23 Jan 2010 03:23:41 GMT"
<http://web.archive.org/web/20100124134801/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 24 Jan 2010 13:48:01 GMT"
<http://web.archive.org/web/20100125234105/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 25 Jan 2010 23:41:05 GMT"
<http://web.archive.org/web/20100127112240/http://www.alexa.com/topsites>;rel="memento"; datetime="Wed, 27 Jan 2010 11:22:40 GMT"
<http://web.archive.org/web/20100130052821/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 30 Jan 2010 05:28:21 GMT"
<http://web.archive.org/web/20100131235534/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 31 Jan 2010 23:55:34 GMT"
<http://web.archive.org/web/20100202194611/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 02 Feb 2010 19:46:11 GMT"
<http://web.archive.org/web/20100204053818/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 04 Feb 2010 05:38:18 GMT"
<http://web.archive.org/web/20100209023817/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 09 Feb 2010 02:38:17 GMT"
<http://web.archive.org/web/20100211023904/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 11 Feb 2010 02:39:04 GMT"
<http://web.archive.org/web/20100213035431/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 13 Feb 2010 03:54:31 GMT"
<http://webcitation.org/query?id=1266043868379705>;rel="memento"; datetime="Sat, 13 Feb 2010 06:51:09 GMT"
<http://web.archive.org/web/20100220053326/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 20 Feb 2010 05:33:26 GMT"
<http://web.archive.org/web/20100222013917/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 22 Feb 2010 01:39:17 GMT"
<http://web.archive.org/web/20100223041235/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 23 Feb 2010 04:12:35 GMT"
<http://web.archive.org/web/20100226113332/http://www.alexa.com/topsites>;rel="memento"; datetime="Fri, 26 Feb 2010 11:33:32 GMT"
<http://web.archive.org/web/20100302043702/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 02 Mar 2010 04:37:02 GMT"
<http://web.archive.org/web/20100304020558/http://www.alexa.com/topsites?>;rel="memento"; datetime="Thu, 04 Mar 2010 02:05:58 GMT"
<http://web.archive.org/web/20100314024551/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 14 Mar 2010 02:45:51 GMT"
<http://web.archive.org/web/20100316191824/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 16 Mar 2010 19:18:24 GMT"
<http://web.archive.org/web/20100324205712/http://www.alexa.com/topsites>;rel="memento"; datetime="Wed, 24 Mar 2010 20:57:12 GMT"
<http://web.archive.org/web/20100325223645/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 25 Mar 2010 22:36:45 GMT"
<http://web.archive.org/web/20100330004107/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 30 Mar 2010 00:41:07 GMT"
<http://web.archive.org/web/20100403213415/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 03 Apr 2010 21:34:15 GMT"
<http://web.archive.org/web/20100403222434/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 03 Apr 2010 22:24:34 GMT"
<http://web.archive.org/web/20100406043721/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 06 Apr 2010 04:37:21 GMT"
<http://web.archive.org/web/20100413012057/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 13 Apr 2010 01:20:57 GMT"
<http://web.archive.org/web/20100414132848/http://www.alexa.com/topsites>;rel="memento"; datetime="Wed, 14 Apr 2010 13:28:48 GMT"
<http://web.archive.org/web/20100415220003/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 15 Apr 2010 22:00:03 GMT"
<http://web.archive.org/web/20100417093100/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 17 Apr 2010 09:31:00 GMT"
<http://web.archive.org/web/20100420083538/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 20 Apr 2010 08:35:38 GMT"
<http://web.archive.org/web/20100425070033/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 25 Apr 2010 07:00:33 GMT"
<http://web.archive.org/web/20100512235842/http://www.alexa.com/topsites>;rel="memento"; datetime="Wed, 12 May 2010 23:58:42 GMT"
<http://web.archive.org/web/20100516063603/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 16 May 2010 06:36:03 GMT"
<http://webcitation.org/query?id=1274279805972324>;rel="memento"; datetime="Wed, 19 May 2010 14:36:47 GMT"
<http://web.archive.org/web/20100531044806/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 31 May 2010 04:48:06 GMT"
<http://webcitation.org/query?id=1275403616286147>;rel="memento"; datetime="Tue, 01 Jun 2010 14:46:57 GMT"
<http://web.archive.org/web/20100625220330/http://www.alexa.com/topsites>;rel="memento"; datetime="Fri, 25 Jun 2010 22:03:30 GMT"
<http://web.archive.org/web/20100627141558/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 27 Jun 2010 14:15:58 GMT"
<http://web.archive.org/web/20100630151134/http://alexa.com/topsites>;rel="memento"; datetime="Wed, 30 Jun 2010 15:11:34 GMT"
<http://webcitation.org/query?id=1278956370709483>;rel="memento"; datetime="Mon, 12 Jul 2010 17:39:31 GMT"
<http://web.archive.org/web/20100719101734/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 19 Jul 2010 10:17:34 GMT"
<http://web.archive.org/web/20100725113530/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 25 Jul 2010 11:35:30 GMT"
<http://web.archive.org/web/20100817043338/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 17 Aug 2010 04:33:38 GMT"
<http://web.archive.org/web/20100822072931/http://www.alexa.com/topsites>;rel="memento"; datetime="Sun, 22 Aug 2010 07:29:31 GMT"
<http://web.archive.org/web/20100823221520/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 23 Aug 2010 22:15:20 GMT"
<http://web.archive.org/web/20100827230348/http://www.alexa.com/topsites>;rel="memento"; datetime="Fri, 27 Aug 2010 23:03:48 GMT"
<http://web.archive.org/web/20100831161234/http://www.alexa.com/topsites>;rel="memento"; datetime="Tue, 31 Aug 2010 16:12:34 GMT"
<http://web.archive.org/web/20100909213535/http://www.alexa.com/topsites>;rel="memento"; datetime="Thu, 09 Sep 2010 21:35:35 GMT"
<http://web.archive.org/web/20100927010633/http://www.alexa.com/topsites>;rel="memento"; datetime="Mon, 27 Sep 2010 01:06:33 GMT"
<http://web.archive.org/web/20101002171625/http://www.alexa.com//topsites>;rel="memento"; datetime="Sat, 02 Oct 2010 17:16:25 GMT"
<http://web.archive.org/web/20101002171629/http://www.alexa.com/topsites>;rel="memento"; datetime="Sat, 02 Oct 2010 17:16:29 GMT"
